text,label
yes,1
Yas,1
Yep,1
Yup,1
Yas,1
Totally,1
Totes,1
Sure,1
You bet,1
Okay,1
K,1
Kay,1
Ok ,1
Okie dokie,1
Alright,1
Alrighty,1
Sounds good,1
For sure,1
Sure thing,1
Certainly,1
Absolutely,1
Indeed,1
Undoubtedly,1
Fine,1
Affirmative,1
Very well,1
Yea,1
Mhmm,1
Uh-huh,1
Nah ,0
Nope,0
No way,0
Not now,0
Certainly not,0
By no means,0
I shall not,0
Not likely,0
No thanks,0
I think not,0
Unfortunately not,0
Im slammed,0
Not possible,0
Not this time,0
Not for me thanks,0
I think I’ll pass,0
Pass,0
Next time,0
Maybe another time,0
Not interested,0
No thank you,0
Not sure,0
I don’t want to,0
Please no,0
Not right now,0
not for now,0
No,0
Don’t,0
Sorry,0
I agree,1
I agree,1
I agree,1
I agree,1
I agree,1
I agree,1
I agree,1
I agree,1
I agree,1
I’m sure,1
I’m sure,1
I’m sure,1
I’m sure,1
I’m sure,1
Aye,1
Cary on,1
Do it,1
Do it,1
Do it,1
get on with it then,1
go ahead,1
i agree,1
make it happen,1
make it so,1
most assuredly,1
"perfect, thanks",1
please do,1
Rock on,1
that's correct,1
that's right,1
uh huh,1
"yes, please",1
"yes, please",1
"yes, please",1
you got it,1
absolutely,1
absolutely,1
affirmative,1
alright,1
assuredly,1
aye,1
certainly,1
confirmed,1
continue,1
continue,1
correct,1
da,1
good,1
hooray,1
ja,1
ok,1
ok,1
ok,1
okay,1
proceed,1
righto,1
sure,1
sure,1
sure,1
sure,1
sure,1
sure,1
sure,1
sure,1
sure,1
thanks,1
totally,1
TRUE,1
y,1
ya,1
ya,1
yay,1
yea,1
yeah,1
yeah,1
yep,1
yeppers,1
yes,1
yes,1
cancel,0
denied,0
disengage,0
don't,0
end,0
exit,0
halt,0
n,0
nah,0
nay,0
nay,0
neg,0
negative,0
negatory,0
nein,0
nevermind,0
nevermind,0
no,0
no,0
no,0
nope,0
nope,0
nyet,0
quit,0
skip,0
stop,0
stop,0
I changed my mind,0
I don't agree,0
I don't agree,0
I don't agree,0
I don't agree,0
I don't agree,0
absolutely not,0
belay that,0
cut it out,0
don't do anything,0
don't do it,0
forget it,0
never mind,0
no thanks,0
no way,0
on second thought, don't do it,0
please don't,0
scratch that,0