label,output
yes,1
Yas,1
Yep,1
Yup,1
Yas,1
Totally,1
Totes,1
Sure,1
You bet,1
Okay,1
K,1
Kay,1
Ok ,1
Okie dokie,1
Alright,1
Alrighty,1
Sounds good,1
For sure,1
Sure thing,1
Certainly,1
Absolutely,1
Indeed,1
Undoubtedly,1
Fine,1
Affirmative,1
Very well,1
Yea,1
Mhmm,1
Uh-huh,1
Nah ,0
Nope,0
No way,0
Not now,0
Certainly not,0
By no means,0
I shall not,0
Not likely,0
No thanks,0
I think not,0
Unfortunately not,0
Im slammed,0
Not possible,0
Not this time,0
Not for me thanks,0
I think I’ll pass,0
Pass,0
Next time,0
Maybe another time,0
Not interested,0
No thank you,0
Not sure,0
I don’t want to,0
Please no,0
Not right now,0
not for now,0
No,0
Don’t,0
Sorry,0